InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,Session_ID,Revenue,Total_Page_Views,Total_Page_Duration,Bounce_Rate,Exit_Rate,Page_Values,Total_Visits,Month,Visitor_Type,Traffic_Type,Special_Day,Operating_System,Browser,Region,Weekend
536365,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12-01-2010 08:26,2.55,17850,United Kingdom,1,0,8,6.560011922,0.102044755,0.208638084,11.3440931,3,April,Returning,Referral,Yes,Mac,Chrome,North America,Yes
536365,71053,WHITE METAL LANTERN,6,12-01-2010 08:26,3.39,17850,United Kingdom,2,1,7,4.930635482,0.002987869,0.769781996,10.0218888,6,June,Returning,Direct,No,Linux,Chrome,Asia,No
536365,84406B,CREAM CUPID HEARTS COAT HANGER,8,12-01-2010 08:26,2.75,17850,United Kingdom,3,0,13,8.462504619,0.191901322,0.624924131,16.69414945,3,November,Returning,Direct,No,Windows,Edge,Europe,Yes
536365,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,6,12-01-2010 08:26,3.39,17850,United Kingdom,4,0,12,5.825029162,0.188531896,0.735124013,10.37354763,9,May,Returning,Direct,No,Mac,Chrome,North America,Yes
536365,84029E,RED WOOLLY HOTTIE WHITE HEART.,6,12-01-2010 08:26,3.39,17850,United Kingdom,5,0,8,5.712455093,0.182517497,0.36982228,7.012260239,13,October,Returning,Organic,No,Mac,Firefox,Europe,No
536365,22752,SET 7 BABUSHKA NESTING BOXES,2,12-01-2010 08:26,7.65,17850,United Kingdom,6,0,10,5.498240493,0.509772319,0.113132774,17.40450361,13,March,Returning,Direct,No,Windows,Chrome,North America,Yes
536365,21730,GLASS STAR FROSTED T-LIGHT HOLDER,6,12-01-2010 08:26,4.25,17850,United Kingdom,7,0,4,2.475426365,0.520084464,0.805290103,7.50619332,10,October,Returning,Direct,Yes,Linux,Chrome,Europe,Yes
536366,22633,HAND WARMER UNION JACK,6,12-01-2010 08:28,1.85,17850,United Kingdom,8,1,11,3.211440337,0.723022047,0.140406839,12.08618499,3,March,Returning,Organic,No,Windows,Edge,North America,No
536366,22632,HAND WARMER RED POLKA DOT,6,12-01-2010 08:28,1.85,17850,United Kingdom,9,0,7,4.890724093,0.201467813,0.382681767,12.48852171,3,August,Returning,Direct,Yes,Linux,Safari,Asia,No
536367,84879,ASSORTED COLOUR BIRD ORNAMENT,32,12-01-2010 08:34,1.69,13047,United Kingdom,10,0,10,4.907233042,0.092659958,0.262278242,3.790015936,11,April,Returning,Direct,No,Linux,Safari,Europe,No
536367,22745,POPPY'S PLAYHOUSE BEDROOM ,6,12-01-2010 08:34,2.1,13047,United Kingdom,11,0,6,6.1795254,0.666091318,0.296534854,14.6023513,7,March,Returning,Direct,No,Mac,Chrome,Asia,No
536367,22748,POPPY'S PLAYHOUSE KITCHEN,6,12-01-2010 08:34,2.1,13047,United Kingdom,12,1,13,3.664265782,0.483997023,0.601856662,16.76979379,14,April,Returning,Organic,No,Linux,Edge,Asia,Yes
536367,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,8,12-01-2010 08:34,3.75,13047,United Kingdom,13,0,11,5.141373402,0.66632065,0.164352152,4.331472099,3,September,Returning,Referral,No,Mac,Safari,North America,No
536367,22310,IVORY KNITTED MUG COSY ,6,12-01-2010 08:34,1.65,13047,United Kingdom,14,0,11,5.177120262,0.380740245,0.44587389,10.14771942,4,March,Returning,Referral,No,Mac,Edge,North America,No
536367,84969,BOX OF 6 ASSORTED COLOUR TEASPOONS,6,12-01-2010 08:34,4.25,13047,United Kingdom,15,0,14,5.256390164,0.750795534,0.638688391,16.69938913,10,December,New,Referral,No,Windows,Chrome,Asia,No
536367,22623,BOX OF VINTAGE JIGSAW BLOCKS ,3,12-01-2010 08:34,4.95,13047,United Kingdom,16,0,8,5.032829034,0.682600778,0.868913197,1.873198971,4,May,Returning,Organic,No,Mac,Firefox,Europe,Yes
536367,22622,BOX OF VINTAGE ALPHABET BLOCKS,2,12-01-2010 08:34,9.95,13047,United Kingdom,17,0,3,2.192319963,0.650341855,0.37122752,13.14282568,7,October,Returning,Direct,No,Linux,Chrome,Asia,Yes
536367,21754,HOME BUILDING BLOCK WORD,3,12-01-2010 08:34,5.95,13047,United Kingdom,18,0,9,0.477563073,0.027569283,0.318691781,3.754070696,9,September,Returning,Organic,Yes,Linux,Firefox,North America,No
536367,21755,LOVE BUILDING BLOCK WORD,3,12-01-2010 08:34,5.95,13047,United Kingdom,19,0,15,3.116472728,0.858124159,0.367847225,8.402487413,6,December,Returning,Direct,No,Linux,Firefox,Europe,Yes
536367,21777,RECIPE BOX WITH METAL HEART,4,12-01-2010 08:34,7.95,13047,United Kingdom,20,0,10,3.937753954,0.376607023,0.50079707,8.944426996,10,July,Returning,Organic,No,Mac,Chrome,Europe,Yes
536367,48187,DOORMAT NEW ENGLAND,4,12-01-2010 08:34,7.95,13047,United Kingdom,21,0,8,2.643096262,0.135615542,0.313094594,4.1093263,11,February,Returning,Direct,No,Windows,Firefox,Europe,No
536368,22960,JAM MAKING SET WITH JARS,6,12-01-2010 08:34,4.25,13047,United Kingdom,22,0,10,4.888652262,0.755588522,0.250452065,5.446502,8,June,Returning,Direct,No,Linux,Chrome,North America,Yes
536368,22913,RED COAT RACK PARIS FASHION,3,12-01-2010 08:34,4.95,13047,United Kingdom,23,0,10,7.180213938,0.486474921,0.375303092,9.6366467,7,September,Returning,Organic,No,Windows,Chrome,Asia,No
536368,22912,YELLOW COAT RACK PARIS FASHION,3,12-01-2010 08:34,4.95,13047,United Kingdom,24,0,13,6.452066331,0.032005382,0.777829265,16.88394654,11,December,Returning,Referral,Yes,Windows,Safari,North America,Yes
536368,22914,BLUE COAT RACK PARIS FASHION,3,12-01-2010 08:34,4.95,13047,United Kingdom,25,0,18,5.932666591,0.78187147,0.252814787,12.4049012,4,June,Returning,Organic,No,Windows,Chrome,Europe,No
536369,21756,BATH BUILDING BLOCK WORD,3,12-01-2010 08:35,5.95,13047,United Kingdom,26,0,13,6.970621477,0.435037463,0.844629633,1.804216632,5,March,New,Referral,Yes,Linux,Safari,North America,Yes
536370,22728,ALARM CLOCK BAKELIKE PINK,24,12-01-2010 08:45,3.75,12583,France,27,0,11,3.150753911,0.754925936,0.285106541,12.32854254,12,May,Returning,Organic,No,Linux,Firefox,Asia,Yes
536370,22727,ALARM CLOCK BAKELIKE RED ,24,12-01-2010 08:45,3.75,12583,France,28,0,10,4.086407461,0.755591019,0.603076897,10.20503446,5,May,Returning,Direct,No,Mac,Edge,Asia,No
536370,22726,ALARM CLOCK BAKELIKE GREEN,12,12-01-2010 08:45,3.75,12583,France,29,0,12,6.229693726,0.09993621,0.970976282,6.834670217,10,November,Returning,Direct,No,Linux,Safari,Asia,Yes
536370,21724,PANDA AND BUNNIES STICKER SHEET,12,12-01-2010 08:45,0.85,12583,France,30,0,9,4.050939982,0.613225823,0.95179286,7.813763502,10,June,Returning,Referral,Yes,Windows,Edge,Europe,Yes
